,Média,Mediana,Desvio Padrão,Mínimo,Máximo
Fp1,0.23012855566105053,0.45116168583358796,13.483333329433574,-27.198346357320048,25.8843417865929
Fp2,-0.16844917490194752,0.7751840491860449,36.194589518034924,-65.49167287968201,62.36346539233751
F7,0.018577458507287297,-0.1223773472666202,7.670343962141532,-24.40144007229236,21.194980912116087
F3,0.1563164902169177,-3.614752661297663,78.17813061539218,-153.88897270782223,149.67517000054426
Fz,0.1128871225795115,0.11197204125651106,3.075827572284011,-11.828072834094595,11.476665320204509
F4,-0.2905997582573508,-0.5736827126961059,13.29135677653181,-27.628497337312268,27.92464596736858
F8,0.08018342356507767,0.19299885695058527,6.099703777406465,-20.85792463409341,15.98686338856852
FC5,-0.2947400319775605,-0.26015533779131245,7.62097857641752,-20.220537592142954,22.57985476907369
FC1,-0.0664328797125201,-0.009183467824378733,3.6695689460763363,-13.303239190246376,12.50071816339426
FC2,-0.19524001599145327,-0.2082288964777581,3.2201851786386415,-9.777369192205155,10.209117874669822
FC6,-0.025529899507848765,0.029073744309554006,13.441658063377986,-27.143031265598164,29.085720554584118
