Fp1_hist,Fp1_bins,Fp2_hist,Fp2_bins,F7_hist,F7_bins,F3_hist,F3_bins,Fz_hist,Fz_bins,F4_hist,F4_bins,F8_hist,F8_bins,FC5_hist,FC5_bins,FC1_hist,FC1_bins,FC2_hist,FC2_bins,FC6_hist,FC6_bins
3,-27.198346357320048,3,-65.49167287968201,1,-24.40144007229236,15,-153.88897270782223,2,-11.828072834094595,3,-27.628497337312268,1,-20.85792463409341,7,-20.220537592142954,1,-13.303239190246376,2,-9.777369192205155,2,-27.143031265598164
2,-26.13669259444179,5,-62.93457011424162,0,-23.48951165260419,35,-147.8176898536549,0,-11.361978071008613,3,-26.51743447121865,0,-20.121028873640174,3,-19.36452974491862,1,-12.787160043173564,4,-9.377639450867656,3,-26.01845622919452
5,-25.075038831563532,18,-60.37746734880123,0,-22.577583232916023,29,-141.74640699948756,1,-10.895883307922631,8,-25.406371605125035,0,-19.384133113186934,4,-18.508521897694287,0,-12.27108089610075,3,-8.977909709530156,6,-24.89388119279087
8,-24.01338506868527,37,-57.82036458336084,3,-21.665654813227853,46,-135.67512414532024,0,-10.429788544836649,7,-24.29530873903142,1,-18.647237352733697,11,-17.652514050469954,3,-11.755001749027938,4,-8.578179968192657,19,-23.769306156387227
23,-22.951731305807012,59,-55.26326181792045,3,-20.753726393539683,26,-129.60384129115292,1,-9.963693781750667,25,-23.1842458729378,0,-17.910341592280457,10,-16.79650620324562,2,-11.238922601955124,7,-8.178450226855157,21,-22.644731119983582
42,-21.890077542928754,69,-52.70615905248006,8,-19.841797973851513,37,-123.53255843698558,2,-9.497599018664685,36,-22.073183006844182,0,-17.17344583182722,13,-15.940498356021289,3,-10.722843454882312,15,-7.778720485517657,41,-21.520156083579938
46,-20.828423780050493,72,-50.14905628703967,3,-18.929869554163346,43,-117.46127558281825,0,-9.031504255578703,54,-20.962120140750567,3,-16.43655007137398,18,-15.084490508796957,5,-10.2067643078095,14,-7.378990744180157,50,-20.395581047176293
61,-19.766770017172234,82,-47.59195352159928,13,-18.017941134475176,36,-111.38999272865092,6,-8.565409492492721,56,-19.851057274656952,1,-15.699654310920742,27,-14.228482661572624,9,-9.690685160736688,15,-6.979261002842659,65,-19.271006010772645
78,-18.705116254293976,88,-45.03485075615889,11,-17.106012714787006,32,-105.3187098744836,5,-8.09931472940674,76,-18.739994408563334,3,-14.962758550467502,36,-13.37247481434829,3,-9.174606013663874,11,-6.579531261505158,78,-18.146430974369
59,-17.64346249141572,92,-42.4777479907185,18,-16.19408429509884,41,-99.24742702031627,10,-7.633219966320756,82,-17.628931542469715,6,-14.225862790014265,41,-12.516466967123957,8,-8.65852686659106,27,-6.1798015201676595,96,-17.021855937965356
69,-16.58180872853746,80,-39.92064522527811,19,-15.28215587541067,45,-93.17614416614893,12,-7.167125203234774,84,-16.5178686763761,12,-13.488967029561024,59,-11.660459119899624,13,-8.142447719518248,36,-5.780071778830159,98,-15.89728090156171
80,-15.520154965659199,62,-37.36354245983772,26,-14.370227455722501,45,-87.10486131198161,17,-6.701030440148792,82,-15.406805810282483,11,-12.752071269107788,60,-10.804451272675292,26,-7.626368572445436,36,-5.38034203749266,88,-14.772705865158063
92,-14.45850120278094,37,-34.806439694397326,27,-13.458299036034333,55,-81.03357845781427,18,-6.23493567706281,77,-14.295742944188866,26,-12.015175508654549,71,-9.948443425450959,31,-7.110289425372623,41,-4.980612296155161,92,-13.648130828754418
71,-13.396847439902682,50,-32.249336928956936,48,-12.546370616346163,51,-74.96229560364695,26,-5.768840913976828,78,-13.18468007809525,34,-11.27827974820131,63,-9.092435578226626,35,-6.59421027829981,64,-4.580882554817661,85,-12.523555792350773
79,-12.335193677024423,52,-29.692234163516545,36,-11.634442196657995,51,-68.89101274947961,43,-5.302746150890846,76,-12.073617212001633,35,-10.541383987748072,70,-8.236427731002294,49,-6.078131131226998,66,-4.181152813480161,77,-11.398980755947127
67,-11.273539914146163,44,-27.135131398076155,47,-10.722513776969825,100,-62.81972989531229,45,-4.8366513878048645,64,-10.962554345908018,50,-9.804488227294833,93,-7.380419883777961,57,-5.562051984154185,68,-3.781423072142662,54,-10.27440571954348
49,-10.211886151267905,65,-24.578028632635764,71,-9.810585357281656,79,-56.748447041144956,59,-4.3705566247188825,56,-9.851491479814399,50,-9.067592466841594,76,-6.524412036553628,55,-5.045972837081372,76,-3.381693330805162,44,-9.149830683139836
54,-9.150232388389647,45,-22.020925867195373,67,-8.898656937593488,101,-50.67716418697762,63,-3.9044618616329005,68,-8.74042861372078,73,-8.330696706388355,98,-5.668404189329294,63,-4.52989369000856,99,-2.9819635894676626,47,-8.025255646736191
52,-8.088578625511389,50,-19.463823101754983,67,-7.98672851790532,62,-44.6058813328103,87,-3.4383670985469177,53,-7.6293657476271655,65,-7.593800945935117,101,-4.812396342104961,77,-4.013814542935746,106,-2.582233848130163,45,-6.900680610332547
52,-7.026924862633127,46,-16.906720336314592,75,-7.07480009821715,72,-38.53459847864296,100,-2.9722723354609357,48,-6.51830288153355,81,-6.856905185481878,108,-3.9563884948806276,102,-3.497735395862934,123,-2.1825041067926634,41,-5.7761055739288985
63,-5.965271099754869,43,-14.349617570874202,87,-6.16287167852898,68,-32.46331562447564,106,-2.5061775723749538,50,-5.407240015439932,80,-6.120009425028639,90,-3.1003806476562943,89,-2.98165624879012,116,-1.7827743654551638,60,-4.651530537525254
38,-4.903617336876611,27,-11.792514805433811,108,-5.250943258840813,43,-26.392032770308305,131,-2.040082809288972,52,-4.296177149346313,82,-5.383113664575401,102,-2.2443728004319645,120,-2.465577101717308,108,-1.3830446241176642,63,-3.526955501121609
46,-3.841963573998349,29,-9.23541203999342,97,-4.339014839152643,66,-20.320749916140983,137,-1.5739880462029898,61,-3.185114283252698,113,-4.646217904122164,87,-1.3883649532076312,134,-1.949497954644496,136,-0.9833148827801654,47,-2.402380464717961
54,-2.780309811120091,42,-6.67830927455303,103,-3.427086419464473,54,-14.249467061973661,158,-1.1078932831170079,63,-2.074051417159083,97,-3.9093221436689234,96,-0.5323571059832979,152,-1.433418807571682,110,-0.5835851414426649,49,-1.2778054283143163
43,-1.718656048241833,45,-4.121206509112639,132,-2.5151579997763065,68,-8.17818420780631,151,-0.6417985200310259,51,-0.9629885510654645,94,-3.1724263832156865,96,0.32365074124103543,133,-0.91733966049887,129,-0.1838554001051662,45,-0.15323039191067167
39,-0.6570022853635749,42,-1.5641037436722485,136,-1.6032295800881364,43,-2.106901353638989,148,-0.17570375694504392,52,0.14807431502815405,96,-2.435530622762446,101,1.1796585884653688,145,-0.40126051342605784,129,0.2158743412323343,56,0.971344644492973
42,0.4046514775146832,46,0.9929990217681421,116,-0.6913011603999664,41,3.964381500528333,167,0.29039100614093805,49,1.259137181121769,101,-1.6986348623092091,100,2.035666435689702,143,0.11481863364675604,118,0.615604082569833,48,2.0959196808966176
46,1.4663052403929449,47,3.5501017872085328,125,0.2206272592882037,60,10.035664354695683,134,0.75648576922692,51,2.370200047215384,108,-0.9617391018559687,105,2.8916742829140354,149,0.6308977807195681,115,1.0153338239073335,39,3.220494717300266
31,2.527959003271203,51,6.107204552648923,98,1.1325556789763702,53,16.106947208863005,144,1.222580532312902,43,3.4812629133090027,99,-0.22484334140273177,101,3.747682130138365,131,1.1469769277923803,111,1.4150635652448322,55,4.3450697537039105
51,3.589612766149461,33,8.664307318089314,101,2.0444840986645403,38,22.178230063030327,140,1.688675295398884,53,4.592325779402621,108,0.5120524190505087,101,4.6036899773626985,112,1.6630560748651941,76,1.8147933065823327,61,5.469644790107555
77,4.651266529027723,39,11.221410083529705,110,2.9564125183527104,47,28.24951291719765,128,2.154770058484866,53,5.703388645496233,117,1.2489481795037456,79,5.459697824587032,111,2.1791352219380062,105,2.2145230479198315,53,6.594219826511203
54,5.712920291905981,47,13.778512848970095,96,3.868340938040877,67,34.320795771365,97,2.620864821570848,51,6.814451511589851,100,1.985843939956986,88,6.315705671811365,118,2.69521436901082,84,2.614252789257332,62,7.718794862914844
50,6.774574054784239,51,16.335615614410486,87,4.780269357729047,86,40.39207862553232,100,3.08695958465683,68,7.92551437768347,76,2.722739700410223,70,7.171713519035698,97,3.2112935160836322,58,3.0139825305948307,73,8.843369899318493
73,7.836227817662497,45,18.892718379850876,92,5.692197777417217,72,46.46336147969964,61,3.553054347742812,63,9.036577243777089,105,3.45963546086346,65,8.027721366260032,88,3.7273726631564443,60,3.4137122719323294,79,9.96794493572214
72,8.897881580540755,44,21.449821145291267,75,6.6041261971053835,93,52.53464433386699,65,4.019149110828794,72,10.147640109870707,103,4.1965312213167,56,8.883729213484365,62,4.243451810229256,44,3.81344201326983,74,11.092519972125782
54,9.959535343419013,44,24.006923910731658,78,7.516054616793554,47,58.605927188034315,56,4.485243873914776,63,11.258702975964319,102,4.933426981769937,52,9.739737060708698,60,4.759530957302072,58,4.213171754607329,97,12.21709500852943
57,11.021189106297271,57,26.56402667617205,63,8.42798303648172,58,64.67721004220164,34,4.9513386370007595,82,12.369765842057937,92,5.670322742223178,36,10.595744907933032,41,5.275610104374884,37,4.612901495944829,84,13.341670044933071
77,12.082842869175536,64,29.12112944161244,61,9.339911456169894,25,70.74849289636896,29,5.41743340008674,98,13.480828708151556,89,6.407218502676415,37,11.451752755157361,32,5.791689251447696,34,5.012631237282328,77,14.46624508133672
69,13.144496632053794,67,31.67823220705283,57,10.25183987585806,46,76.81977575053631,21,5.883528163172723,86,14.591891574245167,70,7.144114263129655,39,12.307760602381698,23,6.307768398520508,30,5.412360978619828,78,15.590820117740368
75,14.206150394932052,69,34.23533497249322,43,11.163768295546227,57,82.89105860470363,14,6.349622926258704,86,15.702954440338786,84,7.881010023582892,24,13.163768449606032,20,6.8238475455933205,22,5.812090719957327,76,16.71539515414401
73,15.26780415781031,59,36.79243773793361,39,12.0756967152344,58,88.96234145887095,16,6.815717689344687,73,16.814017306432405,41,8.617905784036132,25,14.019776296830365,25,7.339926692666136,22,6.211820461294828,56,17.839970190547657
77,16.32945792068857,75,39.349540503374,36,12.987625134922567,53,95.0336243130383,11,7.2818124524306675,73,17.925080172526023,54,9.35480154448937,14,14.875784144054691,11,7.856005839738948,8,6.611550202632328,55,18.964545226951305
76,17.391111683566827,85,41.90664326881439,14,13.899553554610733,35,101.10490716720562,6,7.747907215516651,43,19.03614303861964,34,10.09169730494261,3,15.731791991279025,8,8.37208498681176,11,7.011279943969827,38,20.089120263354946
76,18.452765446445085,93,44.46374603425478,15,14.811481974298907,63,107.17619002137297,4,8.214001978602631,33,20.147205904713253,16,10.828593065395847,8,16.587799838503358,5,8.888164133884572,10,7.4110096853073255,24,21.213695299758594
53,19.51441920932335,64,47.02084879969517,11,15.723410393987074,42,113.24747287554027,4,8.680096741688615,21,21.258268770806872,15,11.565488825849084,7,17.44380768572769,3,9.404243280957385,6,7.810739426644824,24,22.338270336162243
41,20.576072972201608,67,49.577951565135564,17,16.63533881367524,40,119.31875572970762,0,9.146191504774595,13,22.36933163690049,13,12.302384586302328,3,18.299815532952024,0,9.920322428030197,1,8.210469167982327,15,23.462845372565884
31,21.637726735079866,60,52.135054330575954,8,17.547267233363414,39,125.39003858387491,0,9.61228626786058,11,23.480394502994102,9,13.039280346755564,3,19.155823380176358,0,10.436401575103012,3,8.610198909319825,12,24.587420408969532
18,22.699380497958124,36,54.692157096016345,7,18.45919565305158,48,131.46132143804226,0,10.07838103094656,6,24.59145736908772,5,13.776176107208801,1,20.01183122740069,3,10.952480722175824,0,9.009928650657324,5,25.711995445373173
9,23.761034260836382,25,57.249259861456736,2,19.371124072739747,31,137.5326042922096,0,10.544475794032543,2,25.70252023518134,3,14.513071867662038,1,20.867839074625024,1,11.468559869248637,0,9.409658391994823,1,26.83657048177682
3,24.82268802371464,8,59.806362626897126,3,20.28305249242792,18,143.6038871463769,1,11.010570557118523,2,26.813583101274958,2,15.249967628115275,1,21.723846921849358,1,11.984639016321449,2,9.809388133332321,2,27.96114551818047
